seed,family,label,temperature,J,Gamma,mse,mae,psnr_db
11,classical_ising,"classical_ising: J=0.7, Gamma=0",1.0,0.7,0.0,0.039229977699172726,0.15427363845927794,14.063819387511415
11,classical_ising,"classical_ising: J=0.7, Gamma=0",1.5,0.7,0.0,0.020978193406437123,0.11418307386571326,16.782319149698264
11,classical_ising,"classical_ising: J=0.7, Gamma=0",2.0,0.7,0.0,0.028140660434720997,0.13698006332161902,15.506657143003766
11,quantum,"quantum: J=0.7, Gamma=0.2",0.25,0.7,0.2,0.09740763971931087,0.2679777496443647,10.114069798993622
11,quantum,"quantum: J=0.7, Gamma=0.2",0.5,0.7,0.2,0.08478036537473874,0.2487775659866684,10.717047161012381
11,quantum,"quantum: J=0.7, Gamma=0.2",0.75,0.7,0.2,0.06148136713082206,0.20512638217897394,12.112564838728343
11,quantum,"quantum: J=0.7, Gamma=0.2",1.0,0.7,0.2,0.03818826805000606,0.15178837348786514,14.180700377089483
11,quantum,"quantum: J=0.7, Gamma=0.2",1.5,0.7,0.2,0.020979678259051115,0.11431506347441606,16.782011763612473
11,quantum,"quantum: J=0.7, Gamma=0.2",2.0,0.7,0.2,0.02829550569685688,0.1373946224431404,15.482825399547739
11,quantum,"quantum: J=0.7, Gamma=0.35",0.25,0.7,0.35,0.09280588819781403,0.25918524908343177,10.324244684934833
11,quantum,"quantum: J=0.7, Gamma=0.35",0.5,0.7,0.35,0.08008360589896414,0.23957986478672347,10.964563802494482
11,quantum,"quantum: J=0.7, Gamma=0.35",0.75,0.7,0.35,0.057669443577072745,0.19592393137148362,12.390542388539318
11,quantum,"quantum: J=0.7, Gamma=0.35",1.0,0.7,0.35,0.03616962215086477,0.14689114364048222,14.4165602811014
11,quantum,"quantum: J=0.7, Gamma=0.35",1.5,0.7,0.35,0.021006245574106686,0.11458301283433035,16.7765156168975
11,quantum,"quantum: J=0.7, Gamma=0.35",2.0,0.7,0.35,0.02861560518915523,0.1382425175523501,15.433970647990549
